StudentID,EventName,Date
S001,Workshop,2023-09-24
S002,Tech Talk,2023-09-21
S002,Workshop,2023-09-23
S002,Seminar,2023-09-16
S002,Career Fair,2023-09-15
S003,Hackathon,2023-09-10
S004,Tech Talk,2023-09-10
S004,Workshop,2023-09-22
S005,Tech Talk,2023-09-24
S005,Seminar,2023-09-18
S005,Workshop,2023-09-11
S006,Tech Talk,2023-09-09
S006,Seminar,2023-09-08
S006,Workshop,2023-09-04
S007,Seminar,2023-09-24
S007,Hackathon,2023-09-18
S008,Workshop,2023-09-24
S008,Career Fair,2023-09-16
S009,Career Fair,2023-09-27
S009,Seminar,2023-09-07
S009,Hackathon,2023-09-10
S010,Seminar,2023-09-10
S010,Workshop,2023-09-01
S011,Seminar,2023-09-02
S011,Hackathon,2023-09-18
S012,Workshop,2023-09-28
S012,Tech Talk,2023-09-01
S012,Hackathon,2023-09-19
S013,Tech Talk,2023-09-11
S013,Career Fair,2023-09-06
S013,Workshop,2023-09-02
S014,Tech Talk,2023-09-13
S014,Hackathon,2023-09-16
S014,Career Fair,2023-09-03
S015,Workshop,2023-09-05
S016,Hackathon,2023-09-18
S016,Workshop,2023-09-25
S016,Career Fair,2023-09-14
S017,Career Fair,2023-09-15
S017,Tech Talk,2023-09-30
S018,Seminar,2023-09-20
S018,Tech Talk,2023-09-24
S018,Workshop,2023-09-04
S018,Hackathon,2023-09-25
S019,Workshop,2023-09-22
S019,Seminar,2023-09-03
S020,Workshop,2023-09-18
S020,Career Fair,2023-09-03
